keyword,point_type,row,col,lat,lng,api_rank,api_top3,api_results,maps_url,manual_rank,manual_top3,notes
seo company,tracker,C,,45.963473,-66.645449,1,Mypageseo | Fredericton Local SEO | The Ginger Agency,17+,"https://www.google.com/maps/search/seo%20company/@45.963473,-66.645449,14z",,,
seo company,tracker,N,,45.976963,-66.645449,2,Fredericton Local SEO | Mypageseo | Enter Design,17+,"https://www.google.com/maps/search/seo%20company/@45.976963,-66.645449,14z",,,
seo company,tracker,S,,45.949983,-66.645449,1,Mypageseo | Enter Design | Fredericton Local SEO,16+,"https://www.google.com/maps/search/seo%20company/@45.949983,-66.645449,14z",,,
seo company,tracker,E,,45.963473,-66.626042,2,Fredericton Local SEO | Mypageseo | Enter Design,17+,"https://www.google.com/maps/search/seo%20company/@45.963473,-66.626042,14z",,,
seo company,tracker,W,,45.963473,-66.664855,1,Mypageseo | Fredericton Local SEO | TRL Solutions,16+,"https://www.google.com/maps/search/seo%20company/@45.963473,-66.664855,14z",,,
seo company,grid,0,0,45.972466,-66.658387,1,Mypageseo | Fredericton Local SEO | Enter Design,16+,"https://www.google.com/maps/search/seo%20company/@45.972466,-66.658387,14z",,,
seo company,grid,0,1,45.972466,-66.645449,2,Fredericton Local SEO | Mypageseo | Enter Design,17+,"https://www.google.com/maps/search/seo%20company/@45.972466,-66.645449,14z",,,
seo company,grid,0,2,45.972466,-66.632511,2,Fredericton Local SEO | Mypageseo | Enter Design,16+,"https://www.google.com/maps/search/seo%20company/@45.972466,-66.632511,14z",,,
seo company,grid,1,0,45.963473,-66.658387,1,Mypageseo | Fredericton Local SEO | Enter Design,16+,"https://www.google.com/maps/search/seo%20company/@45.963473,-66.658387,14z",,,
seo company,grid,1,1,45.963473,-66.645449,1,Mypageseo | Fredericton Local SEO | The Ginger Agency,17+,"https://www.google.com/maps/search/seo%20company/@45.963473,-66.645449,14z",,,
seo company,grid,1,2,45.963473,-66.632511,2,Fredericton Local SEO | Mypageseo | Enter Design,17+,"https://www.google.com/maps/search/seo%20company/@45.963473,-66.632511,14z",,,
seo company,grid,2,0,45.954479,-66.658387,1,Mypageseo | Enter Design | Vedah Media - Digital Marketing Agency,16+,"https://www.google.com/maps/search/seo%20company/@45.954479,-66.658387,14z",,,
seo company,grid,2,1,45.954479,-66.645449,1,Mypageseo | Fredericton Local SEO | Enter Design,17+,"https://www.google.com/maps/search/seo%20company/@45.954479,-66.645449,14z",,,
seo company,grid,2,2,45.954479,-66.632511,2,Fredericton Local SEO | Mypageseo | Enter Design,17+,"https://www.google.com/maps/search/seo%20company/@45.954479,-66.632511,14z",,,
digital marketing agency fredericton,tracker,C,,45.963473,-66.645449,7,TRL Solutions | The Ginger Agency | Creative Juices,20+,"https://www.google.com/maps/search/digital%20marketing%20agency%20fredericton/@45.963473,-66.645449,14z",,,
digital marketing agency fredericton,tracker,N,,45.976963,-66.645449,8,TRL Solutions | Enter Design | The Ginger Agency,20+,"https://www.google.com/maps/search/digital%20marketing%20agency%20fredericton/@45.976963,-66.645449,14z",,,
digital marketing agency fredericton,tracker,S,,45.949983,-66.645449,8,TRL Solutions | Enter Design | Vedah Media - Digital Marketing Agency,20+,"https://www.google.com/maps/search/digital%20marketing%20agency%20fredericton/@45.949983,-66.645449,14z",,,
digital marketing agency fredericton,tracker,E,,45.963473,-66.626042,9,TRL Solutions | Enter Design | Creative Juices,20+,"https://www.google.com/maps/search/digital%20marketing%20agency%20fredericton/@45.963473,-66.626042,14z",,,
digital marketing agency fredericton,tracker,W,,45.963473,-66.664855,8,"TRL Solutions | Enter Design | Dearing Media | Fredericton Marketing Agency | Websites, Social Media & Branding",20+,"https://www.google.com/maps/search/digital%20marketing%20agency%20fredericton/@45.963473,-66.664855,14z",,,
digital marketing agency fredericton,grid,0,0,45.972466,-66.658387,8,"TRL Solutions | Enter Design | Dearing Media | Fredericton Marketing Agency | Websites, Social Media & Branding",20+,"https://www.google.com/maps/search/digital%20marketing%20agency%20fredericton/@45.972466,-66.658387,14z",,,
digital marketing agency fredericton,grid,0,1,45.972466,-66.645449,7,TRL Solutions | The Ginger Agency | Enter Design,20+,"https://www.google.com/maps/search/digital%20marketing%20agency%20fredericton/@45.972466,-66.645449,14z",,,
digital marketing agency fredericton,grid,0,2,45.972466,-66.632511,8,TRL Solutions | Enter Design | The Ginger Agency,20+,"https://www.google.com/maps/search/digital%20marketing%20agency%20fredericton/@45.972466,-66.632511,14z",,,
digital marketing agency fredericton,grid,1,0,45.963473,-66.658387,8,TRL Solutions | Enter Design | The Ginger Agency,20+,"https://www.google.com/maps/search/digital%20marketing%20agency%20fredericton/@45.963473,-66.658387,14z",,,
digital marketing agency fredericton,grid,1,1,45.963473,-66.645449,7,TRL Solutions | The Ginger Agency | Creative Juices,20+,"https://www.google.com/maps/search/digital%20marketing%20agency%20fredericton/@45.963473,-66.645449,14z",,,
digital marketing agency fredericton,grid,1,2,45.963473,-66.632511,9,TRL Solutions | Creative Juices | Enter Design,20+,"https://www.google.com/maps/search/digital%20marketing%20agency%20fredericton/@45.963473,-66.632511,14z",,,
digital marketing agency fredericton,grid,2,0,45.954479,-66.658387,8,TRL Solutions | Enter Design | Vedah Media - Digital Marketing Agency,20+,"https://www.google.com/maps/search/digital%20marketing%20agency%20fredericton/@45.954479,-66.658387,14z",,,
