keyword,point_type,row,col,lat,lng,api_rank,api_top3,maps_url,manual_rank,manual_top3,notes
seo company,tracker,C,,45.963473,-66.645449,1,Mypageseo | Fredericton Local SEO | The Ginger Agency,"https://www.google.com/maps/search/seo%20company/@45.963473,-66.645449,14z",,,
seo company,tracker,N,,45.976963,-66.645449,2,Fredericton Local SEO | Mypageseo | Enter Design,"https://www.google.com/maps/search/seo%20company/@45.976963,-66.645449,14z",,,
seo company,tracker,S,,45.949983,-66.645449,1,Mypageseo | Enter Design | Vedah Media - Digital Marketing Agency,"https://www.google.com/maps/search/seo%20company/@45.949983,-66.645449,14z",,,
seo company,tracker,E,,45.963473,-66.626042,2,Fredericton Local SEO | Mypageseo | Enter Design,"https://www.google.com/maps/search/seo%20company/@45.963473,-66.626042,14z",,,
seo company,tracker,W,,45.963473,-66.664855,1,Mypageseo | Fredericton Local SEO | TRL Solutions,"https://www.google.com/maps/search/seo%20company/@45.963473,-66.664855,14z",,,
seo company,grid,0,0,45.972466,-66.658387,5,TRL Solutions | Enter Design | The Ginger Agency,"https://www.google.com/maps/search/seo%20company/@45.972466,-66.658387,14z",,,
seo company,grid,0,1,45.972466,-66.645449,2,Fredericton Local SEO | Mypageseo | Enter Design,"https://www.google.com/maps/search/seo%20company/@45.972466,-66.645449,14z",,,
seo company,grid,0,2,45.972466,-66.632511,2,Fredericton Local SEO | Mypageseo | Enter Design,"https://www.google.com/maps/search/seo%20company/@45.972466,-66.632511,14z",,,
seo company,grid,1,0,45.963473,-66.658387,1,Mypageseo | Fredericton Local SEO | Enter Design,"https://www.google.com/maps/search/seo%20company/@45.963473,-66.658387,14z",,,
seo company,grid,1,1,45.963473,-66.645449,1,Mypageseo | Fredericton Local SEO | The Ginger Agency,"https://www.google.com/maps/search/seo%20company/@45.963473,-66.645449,14z",,,
seo company,grid,1,2,45.963473,-66.632511,2,Fredericton Local SEO | Mypageseo | Enter Design,"https://www.google.com/maps/search/seo%20company/@45.963473,-66.632511,14z",,,
seo company,grid,2,0,45.954479,-66.658387,1,Mypageseo | Enter Design | Vedah Media - Digital Marketing Agency,"https://www.google.com/maps/search/seo%20company/@45.954479,-66.658387,14z",,,
seo company,grid,2,1,45.954479,-66.645449,1,Mypageseo | Fredericton Local SEO | Enter Design,"https://www.google.com/maps/search/seo%20company/@45.954479,-66.645449,14z",,,
seo company,grid,2,2,45.954479,-66.632511,2,Fredericton Local SEO | Mypageseo | Enter Design,"https://www.google.com/maps/search/seo%20company/@45.954479,-66.632511,14z",,,
digital marketing agency,tracker,C,,45.963473,-66.645449,60+,The Ginger Agency | Creative Juices | Vedah Media - Digital Marketing Agency,"https://www.google.com/maps/search/digital%20marketing%20agency/@45.963473,-66.645449,14z",,,
digital marketing agency,tracker,N,,45.976963,-66.645449,60+,"Dearing Media | Fredericton Marketing Agency | Websites, Social Media & Branding | The Ginger Agency | TRL Solutions","https://www.google.com/maps/search/digital%20marketing%20agency/@45.976963,-66.645449,14z",,,
digital marketing agency,tracker,S,,45.949983,-66.645449,60+,Vedah Media - Digital Marketing Agency | Enter Design | Creative Juices,"https://www.google.com/maps/search/digital%20marketing%20agency/@45.949983,-66.645449,14z",,,
digital marketing agency,tracker,E,,45.963473,-66.626042,60+,Creative Juices | Vedah Media - Digital Marketing Agency | The Ginger Agency,"https://www.google.com/maps/search/digital%20marketing%20agency/@45.963473,-66.626042,14z",,,
digital marketing agency,tracker,W,,45.963473,-66.664855,60+,TRL Solutions | Vedah Media - Digital Marketing Agency | Enter Design,"https://www.google.com/maps/search/digital%20marketing%20agency/@45.963473,-66.664855,14z",,,
digital marketing agency,grid,0,0,45.972466,-66.658387,60+,"Dearing Media | Fredericton Marketing Agency | Websites, Social Media & Branding | TRL Solutions | The Ginger Agency","https://www.google.com/maps/search/digital%20marketing%20agency/@45.972466,-66.658387,14z",,,
digital marketing agency,grid,0,1,45.972466,-66.645449,60+,The Ginger Agency | Creative Juices | Vedah Media - Digital Marketing Agency,"https://www.google.com/maps/search/digital%20marketing%20agency/@45.972466,-66.645449,14z",,,
digital marketing agency,grid,0,2,45.972466,-66.632511,60+,The Ginger Agency | Creative Juices | Vedah Media - Digital Marketing Agency,"https://www.google.com/maps/search/digital%20marketing%20agency/@45.972466,-66.632511,14z",,,
digital marketing agency,grid,1,0,45.963473,-66.658387,60+,The Ginger Agency | TRL Solutions | Vedah Media - Digital Marketing Agency,"https://www.google.com/maps/search/digital%20marketing%20agency/@45.963473,-66.658387,14z",,,
digital marketing agency,grid,1,1,45.963473,-66.645449,60+,The Ginger Agency | Creative Juices | Vedah Media - Digital Marketing Agency,"https://www.google.com/maps/search/digital%20marketing%20agency/@45.963473,-66.645449,14z",,,
digital marketing agency,grid,1,2,45.963473,-66.632511,60+,Creative Juices | The Ginger Agency | Vedah Media - Digital Marketing Agency,"https://www.google.com/maps/search/digital%20marketing%20agency/@45.963473,-66.632511,14z",,,
digital marketing agency,grid,2,0,45.954479,-66.658387,60+,Vedah Media - Digital Marketing Agency | Enter Design | TRL Solutions,"https://www.google.com/maps/search/digital%20marketing%20agency/@45.954479,-66.658387,14z",,,
digital marketing agency,grid,2,1,45.954479,-66.645449,60+,Vedah Media - Digital Marketing Agency | Creative Juices | The Ginger Agency,"https://www.google.com/maps/search/digital%20marketing%20agency/@45.954479,-66.645449,14z",,,
digital marketing agency,grid,2,2,45.954479,-66.632511,60+,Creative Juices | Vedah Media - Digital Marketing Agency | Enter Design,"https://www.google.com/maps/search/digital%20marketing%20agency/@45.954479,-66.632511,14z",,,
